,keyword,count
1100,europa,1
1101,"peach,",3
1102,hyper,1
1103,femme,1
1104,metal,1
1105,splatter,1
1106,sweatpants,1
1107,"fit,",1
1108,"lemon,",1
1109,elevate,1
1110,sweatjacket,1
1111,rena,1
1112,melange,1
1113,"bros),",1
1114,box,1
1115,2.07,2
1116,heather/mojo,1
1117,robin,2
1118,button,2
1119,baseball,2
1120,"ua1310488,",1
1121,"hernvy,",1
1122,synthetic,2
1123,breathable,1
1124,postpartum,1
1125,abdomen,1
1126,"cincher,skin",1
1127,stripe,1
1128,"beige,",1
1129,camisole,1
1130,chemis,1
1131,other,2
1132,6610r,1
1133,durable,1
1134,"underwear,",1
1135,suitable,1
1136,8302b,1
1137,jasmine,1
1138,"d00586x-y04,",1
1139,32d,1
1140,6xl,1
1141,hua,1
1142,متعددة,1
1143,أكبر,1
1144,مقاس,1
1145,2piece,3
1146,performance,4
1147,suits,1
1148,edgelit7,1
1149,wanderlust,1
1150,"charcoal,",1
1151,tadfc,1
1152,bandage,1
1153,splice,1
1154,sibote,1
1155,half,1
1156,feeding,1
1157,reaxion,1
1158,amp,1
1159,double,1
1160,knit,1
1161,ssc,3
1162,graphic7,3
1163,"1),",1
1164,bryce,1
1165,canyon,1
1166,hybrid,1
1167,jogger,1
1168,rils,1
1169,suzanna,1
1170,melody,1
1171,cobalt,1
1172,"black(black/white),",1
1173,2x-large,1
1174,ella,1
1175,iris/bright,1
1176,bull,1
1177,(grey,1
1178,flux,1
1179,pairs,2
1180,nipple,2
1181,covers,2
1182,cover,2
1183,111280,1
1184,modern,1
1185,"hoody,",1
1186,(blue,1
1187,"45),",1
1188,ace/metallic,1
1189,feste,1
1190,hannah,1
1191,(whitecap,1
1192,entwined,1
1193,sleeve7,1
1194,graphi,1
1195,(flint,1
1196,heather/nocturne,1
1197,"purple),",1
1198,(green,1
1199,"tint/black),",1
1200,1x,1
1201,eyelash,1
1202,trim,1
1203,teddy,1
1204,acrylic,1
1205,chemise,2
1206,(black),1
1207,"women,red",1
1208,(red),1
1209,aqua,1
1210,lung,1
1211,5.5,1
1212,mm,1
1213,jump,1
1214,passo,1
1215,alto,1
1216,uk,1
1217,"women,xs,pink",1
1218,burnout,1
1219,mango-shape,2
1220,closure,2
1221,bust,2
1222,stick,2
1223,gg0204,2
1224,a,1
1225,off,3
1226,heart,3
1227,shape,1
1228,pu,1
1229,yogi,1
1230,bare,1
1231,lifts,1
1232,lifter,1
1233,clear,1
1234,nude,1
1235,pareo,1
1236,akona,1
1237,j&f,2
1238,lggng,1
1239,"women,xs,burgundy",1
1240,ada,1
1241,anti,1
1242,cellulite,1
1243,girls,1
1244,beach,1
1245,halter,1
1246,purple/active,1
1247,stronger,1
1248,splits,1
1249,flc,1
1250,bottoms,1
1251,active,1
1252,fuchsia/active,1
1253,"fuchsia/sail,",1
1254,trefoil,1
1255,rawpin,1
1256,k-1020-2022,1
1257,inch7,1
1258,12,1
1259,"1191-903505,",1
1260,&yoga,1
1261,ls,1
1262,"brown,xs",1
1263,lindex,1
1264,core,1
1265,18,1
1266,xxxl,1
1267,tulle,1
1268,ink/silver,1
1269,c,1
1270,boned,1
1271,sling,1
1272,t7,2
1273,"51780501,",1
1274,climalite,1
1275,soft,1
1276,"women,xs,grey",1
1277,ft,1
1278,"women,m,wine",1
1279,hanady,1
1280,wedding,1
1281,night,1
1282,gown,1
1283,midnight,1
1284,romance,1
1285,zhideai,1
1286,burgundy,1
1287,k-008,1
